country,co2,consumption_co2,co2_growth_prct,co2_growth_abs,trade_co2,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,other_co2_per_capita,trade_co2_share,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp
Afghanistan,192.851,,1156.94,12.144,,9.525,,0.7,3754.107,0.42,7,,7.483,60.41,2.505,5.956,20.152,103.834,,0.17,2.461,0.474,1.288,5.119,,,0.63,0.55,2.27,0.54,1.05,,86.771,819.626,133.89,583.169,2016.868,,0.63,0.05,1.75,0.49,0.63,,879.47,33.154,643.03,23.789,128.44,5.337,1230725448,1.48104E+12,598.77,31015.215,16.827
Africa,47610.749,22120.671,1457.81,1326.018,-8892.489,110.011,23.571,240.59,1205270.387,145.43,27.77,7.115,18.802,20304.715,1862.329,2786.571,5948.868,16708.257,,2.575,71.646,4.527,6.601,24.661,,-872.39,319.95,262.86,948,114.39,191.97,,36295.408,623735.5,76939.322,88346.331,379953.826,,255.77,145.09,759.79,58.23,122.42,,,,,,,,54933994670,,152425.517,203060.376,
Albania,285.504,143.572,1619.03,4.523,29.578,111.049,47.527,1.49,9250.244,1.04,26.324,7.158,4.68,66.963,19.479,,16.602,182.455,,7.065,24.946,,6.288,72.753,,807.19,3.43,0.89,,0.67,2.93,,438.24,2457.461,,634.64,5701.052,,2.73,0.43,,0.73,2.34,,234.52,76.612,95.54,31.116,33.11,10.796,199750816,8.64813E+11,1346.745,447400.179,94.705
Algeria,4587.133,,1801.74,154.992,,162.607,,18.24,95820.242,8.76,26.904,,17.144,116.452,229.285,588.662,2062.655,1590.075,,7.684,6.231,25.31,66.064,57.322,,,33.66,1.6,211.33,43.5,17.05,,4081.35,4060.633,17941.796,36112.189,33494.461,,24.1,0.95,171.72,25.75,9.81,,3833.79,115.537,1071.5,32.321,197.69,5.917,1893385670,1.17079E+13,15972.978,536096.282,49.988
Andorra,15.072,,15.36,0.059,,209.122,,0,236.074,0,,,,,,,,15.072,,,,,,209.122,,,,,,,0.07,,,,,,236.074,,,,,,0,,13.51,189.24,1.03,14.054,0,0,2252151,,,,
Angola,682.264,,779.21,22.007,,40.359,,2.49,11431.576,0.98,20.239,,11.31,1.601,26.908,288.531,40.782,324.441,,1.675,0.3,16.102,2.335,19.948,,,3.67,0,88.87,0.83,3.3,,447.257,22.125,4534.943,701.545,5650.471,,2.82,0,36.59,0.45,1.59,,4682.31,258.485,1320.63,72.545,541.49,30.248,911999116,2.61683E+12,1621.135,89399.83,42.719
Anguilla,3.421,,99.05,0.072,,273.172,,0,45.869,0,,,,,,,,3.421,,,,,,273.172,,,,,,,0,,,,,,45.869,,,,,,0,,,,,,,,378389,,,,
Antarctica,0.157,,258.33,0.009,,,,0,1.844,0,,,,,,,,0.157,,,,,,,,,,,,,0,,,,,,1.844,,,,,,0,,,,,,,,,,,,
Antigua and Barbuda,21.528,,735.14,0.408,,301.339,,0.02,637.616,0,,,5.116,,,,,21.528,,,,,,301.339,,,,,,,0.12,,,,,,637.616,,,,,,0,,21.44,262.54,4.77,60.389,0.59,7.541,4510619,,80.504,1067485.233,
Argentina,8431.212,4551.437,707.2,155.9,-163.429,299.431,116.846,53.06,263218.871,37.79,26.54,7.187,11.782,537.44,197.059,184.483,2868.907,4643.327,,6.643,45.337,6.006,79.61,161.828,,-103.79,70.99,14.35,72.96,81.58,88.98,,6148.888,38586.473,6038.62,55983.237,156440.788,,73.65,15.08,60.11,58.6,80.2,,11042.71,288.88,3240.6,85.519,1157.39,30.428,2732500273,3.19231E+13,33732.49,983333.005,62.871
Armenia,383.328,146.461,1931.77,5.889,8.577,151.092,48.483,2.66,14305.162,2.08,8.771,6.32,2.755,43.764,14.83,2.151,157.335,165.259,,5.252,22.645,0.695,53.022,69.473,,263.19,3.74,0.77,0.84,4.64,9.78,,447.151,2283.882,24.149,3774.324,7494.017,,3.61,0.64,0.37,3.77,10.81,,244.55,78.368,65.39,21.195,20.72,6.81,290585938,1.01057E+12,962.287,316838.037,69.289
Aruba,75.918,,900.14,0.64,,974.313,,0.38,2353.826,0,,,11.057,,,,,75.918,,,,,,974.313,,,,,,,1.49,,,,,,2353.826,,,,,,1.17,,,,,,,,5164938,,126.209,1380288.66,
Asia,532916.151,359879.452,2893.99,20316.595,-29180.338,158.352,89.023,2371.25,11217790.33,1258.41,45.301,11.625,15.381,281003.765,26509.177,6377.149,57253.251,156292.3,5480.506,7.02,85.605,2.183,14.851,47.153,1.533,-205.98,3468.25,2955.53,2271.19,1189.54,2313.32,3953.97,424798.941,6006156.197,197704.093,872707.808,3608791.114,107632.186,2362.32,1259.25,2192.82,669.74,1733.92,3222.77,,,,,,,3.26076E+11,,,,
Asia (excl. China & India),242935.659,161525.617,2130.89,7207.317,-1621.054,221.127,107.288,1199.73,5964596.474,714.1,50.475,9.692,14.503,68550.832,9228.998,6180.302,48790.942,109432.083,752.498,7.366,76.582,5.842,34.084,96.766,0.502,-23.23,1628.95,868.79,2190.97,1041.15,1775.05,301.39,199090.053,1983494.821,191601.104,778291.239,2800994.361,11124.896,1377.36,479.89,2134.53,608.66,1434.27,187.2,,,,,,,,,,,
Australia,18635.749,9996.752,883.75,391.625,-985.633,1243.98,483.333,121.11,569335.107,88.4,67.451,12.266,14.42,10231.207,192.373,287.302,2082.684,5731.702,110.485,12.339,772.78,13.598,104.866,335.077,5.329,-280.91,62.57,152.7,89.94,43.28,70.98,44.59,6034.008,368880.069,3901.523,36750.033,152048.398,1644.72,67.67,100.94,28.7,25.8,51.58,27.14,15601.37,782.305,4106.56,207.59,2212.02,111.539,1518744923,3.65619E+13,60391.971,3321998.382,109.209
Austria,5505.505,2878.379,1302.56,60.38,824.6,768.079,348.375,150.5,307425.695,152.59,79.306,9.581,10.104,2730.361,137.848,4.663,722.563,1875.281,34.796,17.832,418.001,0.561,89.803,237.685,4.191,1211.12,52.03,149.48,1.48,21.88,96.55,14.14,5051.738,227419.083,71.515,17694.623,56448.039,542.441,58.5,161.44,0.54,18.25,95.12,9.2,1953.9,238.035,237.05,29.079,114.06,13.965,1271216430,1.55656E+13,18471.856,2308062.711,92.265
Azerbaijan,2503.757,939.715,1903.21,37.71,-141.803,423.176,108.521,16.51,88534.791,12.18,29.631,15.432,7.884,24.292,30.796,51.843,1035.547,1361.277,,4.476,6.469,5.882,148.488,257.852,,-295.05,7.12,0.46,14.79,36.53,91.47,,832.333,1286.772,579.088,29013.083,56562.158,,6.89,0.34,4.28,32.74,101.95,,1770.66,210.845,765.45,87.993,77.67,9.168,677908120,3.05692E+12,5998.411,742132.858,120.077
Bahamas,169.521,,605.01,2.284,,763.358,,0.93,5773.36,0.49,,,5.992,0.279,4.262,,,164.988,,24.059,1.066,,,738.237,,,1.38,0,,,1.98,,49.309,6.689,,,5558.709,,0.77,0,,,1.8,,66.17,194.406,7.29,23.052,2.22,6.978,16561417,,487.207,1702213.862,
Bahrain,926.306,429.929,2236.77,34.952,-235.617,1731.58,505.891,4.31,20371.066,2.28,142.84,33.557,5.996,0.155,7.324,,705.167,213.658,,6.564,0.554,,933.915,790.547,,-908.08,0.57,0,,14.56,7.02,,72.058,0.264,,12050.823,8241.208,,0.25,0,,8.58,6.3,,783.59,888.342,224.45,247.705,1.58,1.823,42173362,8.29911E+11,4216.186,5554206.517,265.278
Bangladesh,1562.305,1635.211,960.24,92.726,361.558,12.19,11.438,5.68,23900.55,2.07,6.565,4.924,10.259,119.442,23.039,,969.638,450.181,,0.169,1.038,,7.016,3.975,,846.44,2.29,1.08,,17.6,4.89,,301.211,1920.19,,12424.108,9255.053,,1.2,0.46,,7.86,2.81,,4092.04,30.623,1949.11,14.779,611.33,4.584,6949038495,1.15315E+13,7003.851,52441.42,24.864
Barbados,54.879,,2283.59,1.086,,205.917,,0.03,1337.103,0,17.965,,6.565,0.06,3.631,0.04,1.732,49.423,,13.302,0.242,0.13,6.537,185.707,,,0.47,0,0,0,0.62,,69.281,0.438,0.202,44.038,1219.752,,0.31,0,0,0,0.44,,97.61,355.364,60.95,222.324,1.49,5.449,22338757,1.80133E+11,228.276,843709.266,59.681
Belarus,4907.839,1761.675,1865.28,57.43,-161.612,537.092,182.169,33.58,180936.936,25.26,26.81,14.19,7.735,512.626,86.571,9.982,1289.1,2956.728,52.832,9.236,59.721,1.038,134.242,327.422,5.416,-174.02,20.29,9.38,3.91,32.56,146.08,22.11,2380.411,24922.455,408.139,26969.009,125282.639,969.284,19.65,6.69,4.21,23.63,159.56,17.48,2071.96,212.288,429.64,44.127,343.91,35.326,1216401002,4.84058E+12,11158.861,1141414.522,89.679
Belgium,12543.15,5515.311,362.95,77.552,2012.155,1469.458,518.723,462.68,790135.91,449.62,152.354,14.839,10.503,7523.718,220.784,3.241,1334.423,3386.796,74.177,22.581,975.745,0.303,127.449,336.381,6.993,1761.11,123.9,480.4,1.07,31.97,51.75,30.67,8842.713,639499.963,51.129,28972.483,111219.067,1239.456,163.72,485.61,0.4,23.49,44.42,21.24,3362.86,320.095,294.7,28.141,188.71,18.056,1546771406,2.10548E+13,34874.966,3388016.792,132.582
Belize,19.062,,440.72,0.566,,86.985,,0,420.706,0,,,7.423,,,,0.07,18.993,,,,,0.193,86.794,,,,,,0,0.05,,,,,0.444,420.257,,,,,0,0,,235.35,964.862,71.68,324.445,6.73,24.962,13647765,,71.675,288249.703,
Benin,111.668,144.316,502.93,6.578,49.54,14.046,16.267,0.28,1485.293,0.06,7.084,8.056,10.035,0.953,5.504,,0.328,104.883,,0.75,0.087,,0.029,13.179,,1632.42,0.59,0,,0,0.93,,82.94,2.053,,1.45,1390.022,,0.33,0,,0,0.27,,593.7,80.556,114.28,15.065,66.34,8.909,359416717,6.01668E+11,310.332,38799.744,23.516
Bermuda,29.212,,380.21,0.583,,488.732,,0,798.264,0,,,7.807,0.078,,,,29.136,,,1.556,,,487.181,,,,0,,,0.43,,,0.414,,,795.57,,,0,,,0,,,,,,,,4028238,,94.588,1498397.5,
Bhutan,19.191,,840.99,1.923,,28.486,,0.02,206.624,0,,,3.295,6.264,4.197,,,8.742,,6.072,9.194,,,13.214,,,0.39,0.02,,,0.01,,38.943,62.126,,,105.389,,0.09,0,,,0,,-63.57,-105.759,24.21,39.24,5.09,8.229,27899558,,351.32,541629.883,
Bolivia,530.155,379.911,1200.49,20.693,-21.906,65.78,40.03,2.07,10191.156,0.92,15.22,8.159,8.286,0.373,27.363,31.368,160.161,310.908,,3.112,0.079,4.908,17.152,40.532,,-149.32,3.71,0,11.98,2.95,3.68,,421.68,7.202,1021.212,2125.174,6607.797,,2.48,0,10.11,1.35,2.17,,3420.27,385.855,684.64,76.654,252.55,28.316,533672467,2.00576E+12,1657.988,191764.063,60.715
Bonaire Sint Eustatius and Saba,30.353,,1418.86,0.211,,2500.446,,0.13,1365.077,0,,,,,,,,30.353,,,,,,2500.446,,,,,,,0.87,,,,,,1365.077,,,,,,0.97,,,,,,,,959555,,,,
Bosnia and Herzegovina,954.781,,6758.27,23.077,,259.222,,5.33,28793.87,3.49,38.478,,5.867,755.118,11.142,0.325,24.314,163.882,,3.032,206.697,0.074,6.212,43.197,,,2.2,9.88,0.15,0.65,1.74,,229.49,23878.262,2.072,615.277,3996.568,,1.88,5.14,0,0.45,1.1,,470.88,126.153,94.61,25.012,25.76,6.857,396030652,1.51165E+12,1592.77,430665.059,73.733
Botswana,150.401,249.466,828.08,6.497,120.436,88.415,130.259,0.51,2362.864,0.19,12.947,11.637,10.026,88.076,0.256,,0.004,62.07,,0.129,54.999,,0.002,33.293,,2272.4,0.02,0.79,,0,0.55,,2.578,1555.862,,0.004,804.401,,0,0.27,,0,0.17,,1797.59,1065.998,443.41,263.292,172.96,101.908,72680474,5.98511E+11,423.79,261344.026,35.743
Brazil,16238.509,11895.076,676.97,465.28,555.326,109.951,64.029,72.79,371385.499,39.96,18.657,5.402,8.961,2420.739,772.081,437.67,1254.634,11190.141,163.245,5.104,21.184,2.495,6.596,73.697,0.881,152.23,146.69,30.13,144.48,21.76,125.27,65.28,17852.904,68967.262,7168.863,14653.338,260386.591,2356.529,123.11,16.86,61.3,8.64,80.9,38.99,42729.29,240.185,10191.58,56.46,3983.01,22.003,11112321030,8.71311E+13,97896.846,591663.069,76.7
British Virgin Islands,5.504,,638.61,0.14,,259.203,,0,97.963,0,,,12.959,,,,,5.504,,,,,,259.203,,,,,,,0,,,,,,97.963,,,,,,0,,,,,,,,1058161,,14.334,638561.454,
Brunei,360.368,178.287,18703.04,10.155,-15.977,2068.496,492.24,2.05,10747.484,1.26,,,7.552,0.004,,87.262,183.746,89.367,,,0.019,494.374,691.877,882.221,,-275.19,,0,26.59,5.73,3.39,,,0.004,3507.087,3747.8,3381.053,,,0,38.55,4.18,2.89,,493.07,1442.07,295.49,869.863,3.43,9.879,17230727,,1066.631,3362924.749,
Bulgaria,3831.211,1344.072,1154.46,37.44,-201.605,469.035,172.637,22.23,133152.63,15.69,55.905,15.03,13.831,2148.146,104.74,9.476,336.39,1206.627,25.822,12.699,267.037,1.282,41.053,143.56,3.393,-375.02,30.51,30.42,2.73,8.6,14.75,10.11,3654.554,78665.557,93.432,8471.186,41906.692,354.894,30.85,17.28,0.66,6.67,13.59,6.03,1431.59,180.83,274.23,34.42,116.78,14.734,917283038,5.43925E+12,13706.616,1659775.315,148.646
Burkina Faso,64.326,72.292,1138.43,3.968,20.633,4.863,4.858,0.14,930.303,0,3.504,3.424,9.104,,2.438,,,61.887,,0.151,,,,4.713,,1414.22,0.21,,,,0.57,,22.649,,,,907.652,,0.07,,,,0.17,,809.4,62.929,296.53,22.641,196.74,15.076,631372896,7.43138E+11,188.739,14587.967,10.401
Burundi,13.058,,719.3,0.592,,2.05,,0,272.101,0,2.309,,7.749,0.658,0.282,,,12.118,,0.028,0.102,,,1.919,,,0,0,,,0.03,,1.539,13.678,,,256.765,,0,0,,,0,,246.72,36.725,52.83,7.474,41.3,5.662,384596208,2.95986E+11,49.419,7570.007,7.184
Cambodia,158.245,221.802,1488.16,15.227,89.932,11.755,15.546,0.53,1866.982,0.09,4.857,6.021,10.396,22.213,17.399,,,118.635,,1.091,1.417,,,9.252,,2104.94,1.15,0.16,,,1.17,,70.242,82.167,,,1698.625,,0.18,0,,,0.4,,1442.39,115.615,519.02,41.167,134.31,10.661,645162515,1.13685E+12,395.621,29674.47,15.831
Cameroon,215.085,186.329,724.15,6.753,44.083,15.514,9.881,0.76,4568.514,0.39,7.15,4.182,6.813,0.273,17.544,,11.923,185.361,,1.077,0.043,,0.521,13.867,,874.24,2.11,0,,0.18,2.01,,271.249,6.82,,75.218,4197.781,,1.17,0,,0,1.23,,5156.95,307.221,387.18,22.857,1474.04,84.785,844300747,1.71757E+12,953.592,62558.153,25.967
Canada,33576.764,16581.748,1795.3,535.82,248.996,1575.762,515.195,279.85,1255511.52,227.38,114.443,13.428,8.833,9666.393,369.388,603.625,8046.75,14804.732,85.871,14.595,663.735,20.853,281.26,592.628,2.707,50.35,124.46,215.44,237.67,293.19,332.22,35.67,11612.893,553615.526,13918.676,193931.084,480951.945,1480.112,137.85,194.38,159.82,251.15,317.61,25.69,21782.21,686.622,3116.75,98.769,1253.17,39.753,2560911071,5.76849E+13,164125.631,5726903.713,185.664
Cape Verde,13.291,,521.41,0.449,,31.534,,0,232.834,0,11.35,,7.061,0.244,0.074,,,12.975,,0.3,1.313,,,29.92,,,0,0,,,0.01,,0.494,1.59,,,212.032,,0,0,,,0,,8.83,17.449,2.91,6.598,2.19,4.977,24191870,76220686814,60.497,134855.7,34.774
Central African Republic,10.547,,165.23,0.089,,3.764,,0,295.792,0,3.174,,4.913,,,,,10.547,,,,,,3.764,,,,,,,0,,,,,,295.792,,,,,,0,,1671.03,443.825,565.69,150.09,727.64,192.119,184040849,1.90223E+11,56.483,16285.27,16.274
Chad,26.057,,555.19,0.849,,3.134,,0,486.639,0,3.353,,18.131,,0.9,,,25.16,,0.061,,,,3.072,,,0.07,,,,0.17,,3.819,,,,482.819,,0,,,,0,,1207.73,120.739,527.58,52.74,263.37,27.506,451076093,4.98026E+11,39.025,5082.59,4.77
Chile,2903.058,1949.112,604.89,80.649,99.513,238.57,118.554,17.5,81882.277,12.08,27.69,6.743,11.597,901.863,55.809,78.686,307.159,1559.544,,4.757,94.211,7.771,19.788,112.046,,135.62,22.87,14.12,39.69,6.45,18.33,,1823.866,34357.462,3736.121,5349.424,36615.372,,23.96,10.15,52.99,3.98,12.16,,1253.63,80.992,373.4,23.777,179.74,11.337,1128854461,1.18369E+13,12361.886,829098.983,76.065
China,235564.016,159742.449,3524.94,10667.796,-24634.291,189.4,118.282,914.23,4163242.02,401.11,45.875,16.467,16.847,177201.989,14804.848,30.61,6113.51,32685.041,4728.012,11.086,144.192,0.031,4.541,25.667,3.884,-381.84,1500.37,1704.43,10.56,106.6,317.06,3652.57,187301.076,3260623.744,190.638,64692.479,552824.723,96507.29,751.58,603.22,3.22,43.2,141.72,3035.59,179061.84,134.005,24919.18,18.928,11448.13,8.692,98402608182,3.34E+14,742644.728,577215.35,130.289
Christmas Island,1.333,,49.98,0.011,,,,0,9.926,0,,,,,,,,1.333,,,,,,,,,,,,,0,,,,,,9.926,,,,,,0,,,,,,,,,,,,
Colombia,3399.1,2300.086,1756.73,89.079,236.196,109.217,54.626,16.8,90865.829,9.92,17.349,5.424,11.535,745.254,184.175,60.958,641.685,1767.036,,5.534,26.293,2.068,18.094,57.229,,335.13,38.23,9.49,24.65,24,24.76,,4455.892,22836.193,1939.494,13000.7,48482.966,,32.68,4.7,22.26,16.14,19.06,,7473.85,185.211,1804.98,44.076,538.84,13.18,2422848214,1.76169E+13,15271.083,422929.295,57.244
Comoros,5.301,,419.48,0.252,,10.002,,0,93.633,0,7.563,,9.489,,,,,5.301,,,,,,10.002,,,,,,,0,,,,,,93.633,,,,,,0,,11.92,20.261,5.62,9.602,1.35,2.348,27668935,33670737027,15.096,26938.766,15.81
Congo,78.479,,632.56,2.929,,27.858,,0.3,1625.596,0,7.632,,7.635,,3.481,5.751,9.257,59.994,,0.812,,3.554,2.14,21.351,,,0.29,,1.93,0.14,0.64,,26.226,,73.833,62.61,1273.668,,0.04,,1.18,0,0.36,,1007.34,293.004,221.49,62.979,74.88,21.522,164353317,6.64262E+11,342.19,96037.745,30.651
Cook Islands,2.198,,368.47,0.069,,120.593,,0,44.145,0,,,7.325,,,,,2.198,,,,,,120.593,,,,,,,0,,,,,,44.145,,,,,,0,,1.12,61.139,0.3,16.231,0,0,966009,,8.887,488448.267,
Costa Rica,255.063,320.359,379.16,7.624,129.968,73.536,75.011,0.98,5276.407,0.44,9.034,7.016,5.18,0.802,21.39,,,232.874,,5.816,0.189,,,67.534,,2025.82,2.93,0,,,2.52,,414.59,10.68,,,4848.747,,2,0,,,1.44,,254.1,67.742,115.15,28.49,46.09,11.416,205277381,1.73811E+12,1361.103,348081.249,36.81
Cote d'Ivoire,333.932,270.573,414.96,9.573,55.384,26.514,14.321,1.42,7587.249,0.72,9.195,5.094,,,,,76.661,257.269,,,,,3.763,22.753,,718.92,,,,1.29,2.78,,,,,846.374,6740.876,,,,,0.45,1.86,,665.83,38.015,413.08,25.297,93.95,5.572,787150371,2.09156E+12,,,
Croatia,1078.549,694.845,6582.54,18.793,101.31,246.086,158.052,6,32654.848,3.93,19.824,10.677,6.146,140.505,56.878,18.305,201.442,655.832,5.59,13.504,34.151,4.116,45.358,147.689,1.277,496.49,31.62,2.32,6.41,5.05,9.34,2.29,1523.344,5845.936,340.328,4366.939,20043.798,87.643,29.22,1.61,2.55,3.63,7.95,1.43,439.26,99.44,98.21,22.122,66.32,14.903,502012774,3.37746E+12,2890.17,656317.055,38.547
Cuba,1614.249,,3289.56,20.074,,163.352,,8.37,50343.129,5.43,39.845,,8.243,11.327,59.096,,41.558,1502.267,,5.993,1.255,,3.697,152.416,,,16.27,0.04,,0.66,20.34,,1871.519,475.081,,450.403,47540.075,,14.69,0,,0.22,17.19,,728.11,64.991,341.94,30.8,108.5,9.806,730413541,3.02693E+12,4656.673,432129.051,73.15
Curacao,559.29,,1373.74,1.667,,3674.763,,4.87,25559.736,3.69,,,,,,,1.032,558.258,,,,,6.383,3668.379,,,,,,0,16.44,,,,,4.252,25555.482,,,,,0,16.29,,,,,,,,9960210,,,,
Cyprus,293.026,273.804,356.05,6.232,63.127,330.812,274.238,1.27,6666.482,0.65,27.347,13.759,13.376,3.891,33.113,,0.028,254.684,1.309,37.702,4.604,,0.028,287.122,1.346,903.31,5.32,0,,0,2.8,0.53,764.913,97.334,,0.569,5778.858,23.51,4.04,0,,0,1.7,0.41,210.02,213.226,17.37,17.699,10.11,10.389,56113999,7.60893E+11,1150.497,1273999.284,74.546
Czechia,11917.743,3538.016,816.42,87.773,-163.078,1184.109,339.804,170.29,604551.443,165.77,48.137,17.567,14.592,9677.747,93.955,8.787,669.342,1420.291,47.618,9.285,966.473,0.847,64.512,138.42,4.573,-123.06,40.53,228.07,3.05,16.18,17.19,19.59,2535.777,541859.578,165.528,14185.349,44317.707,780.341,35.54,206.77,1.24,11.57,14.55,13.36,3521.29,339.073,425.31,40.96,146.52,14.102,1556838324,8.71541E+12,29271.017,2848579.626,130.187
